date,total
2023-01-01,5135
2023-01-02,5507
2023-01-03,5127
2023-01-04,7261
2023-01-05,6572
2023-01-06,6542
2023-01-07,5406
2023-01-08,5361
2023-01-09,8035
2023-01-10,9868
2023-01-11,10540
2023-01-12,8748
2023-01-13,7014
2023-01-14,5782
2023-01-15,6078
2023-01-16,4587
2023-01-17,8940
2023-01-18,8549
2023-01-19,7122
2023-01-20,7547
2023-01-21,6091
2023-01-22,3374
2023-01-23,6561
2023-01-24,8270
2023-01-25,4371
2023-01-26,5225
2023-01-27,4018
2023-01-28,2519
2023-01-29,2418
2023-01-30,3657
2023-01-31,4076
2023-02-01,5294
2023-02-02,6119
2023-02-03,3491
2023-02-04,4907
2023-02-05,5539
2023-02-06,7236
2023-02-07,8207
2023-02-08,8424
2023-02-09,4448
2023-02-10,7138
2023-02-11,7554
2023-02-12,8733
2023-02-13,9281
2023-02-14,9112
2023-02-15,8554
2023-02-16,3534
2023-02-17,4545
2023-02-18,6256
2023-02-19,8818
2023-02-20,8087
2023-02-21,7918
2023-02-22,3520
2023-02-23,7751
2023-02-24,6387
2023-02-25,5568
2023-02-26,7202
2023-02-27,6575
2023-02-28,10247
2023-03-01,11850
2023-03-02,9071
2023-03-03,6634
2023-03-04,7674
2023-03-05,8246
2023-03-06,8102
2023-03-07,9890
2023-03-08,9773
2023-03-09,7819
2023-03-10,6113
2023-03-11,7783
2023-03-12,3964
2023-03-13,5829
2023-03-14,8659
2023-03-15,10138
2023-03-16,8500
2023-03-17,7690
2023-03-18,3956
2023-03-19,5678
2023-03-20,9071
2023-03-21,11325
2023-03-22,9277
2023-03-23,8932
2023-03-24,9047
2023-03-25,5535
2023-03-26,6687
2023-03-27,9206
2023-03-28,11473
2023-03-29,10018
2023-03-30,11705
2023-03-31,9033
2023-04-01,7209
2023-04-02,11319
2023-04-03,9875
2023-04-04,9026
2023-04-05,10208
2023-04-06,12609
2023-04-07,11516
2023-04-08,15297
2023-04-09,14127
2023-04-10,16606
2023-04-11,21321
2023-04-12,22764
2023-04-13,23690
2023-04-14,24365
2023-04-15,28391
2023-04-16,7001
2023-04-17,7346
2023-04-18,15126
2023-04-19,14262
2023-04-20,17231
2023-04-21,18220
2023-04-22,10298
2023-04-23,8500
2023-04-24,12216
2023-04-25,10845
2023-04-26,14212
2023-04-27,18295
2023-04-28,15403
2023-04-29,11945
2023-04-30,7367
2023-05-01,6831
2023-05-02,12923
2023-05-03,15238
2023-05-04,19891
2023-05-05,23365
2023-05-06,21411
2023-05-07,23163
2023-05-08,10298
2023-05-09,18936
2023-05-10,22375
2023-05-11,23375
2023-05-12,13015
2023-05-13,15926
2023-05-14,10405
2023-05-15,16286
2023-05-16,21012
2023-05-17,17928
2023-05-18,21524
2023-05-19,17484
2023-05-20,23794
2023-05-21,26009
2023-05-22,21251
2023-05-23,25022
2023-05-24,20182
2023-05-25,19167
2023-05-26,21150
2023-05-27,22949
2023-05-28,23790
2023-05-29,23771
2023-05-30,23169
2023-05-31,23187
2023-06-01,25578
2023-06-02,28575
2023-06-03,31794
2023-06-04,25664
2023-06-05,22418
2023-06-06,21983
2023-06-07,24220
2023-06-08,23969
2023-06-09,27869
2023-06-10,35121
2023-06-11,10517
2023-06-12,19460
2023-06-13,10388
2023-06-14,23140
2023-06-15,22013
2023-06-16,21902
2023-06-17,29696
2023-06-18,24666
2023-06-19,24782
