hour,member_type,total
0,casual,36896
0,member,35534
1,casual,23929
1,member,21185
2,casual,14456
2,member,12275
3,casual,7944
3,member,7936
4,casual,5969
4,member,8778
5,casual,11429
5,member,34144
6,casual,30151
6,member,105310
7,casual,53000
7,member,194611
8,casual,70700
8,member,244218
9,casual,70005
9,member,164912
10,casual,86606
10,member,148848
11,casual,110524
11,member,176379
12,casual,130779
12,member,199941
13,casual,136656
13,member,198738
14,casual,142731
14,member,201905
15,casual,159268
15,member,246741
16,casual,182502
16,member,331643
17,casual,199282
17,member,387973
18,casual,172201
18,member,307787
19,casual,127271
19,member,217972
20,casual,91921
20,member,151659
21,casual,77308
21,member,117765
22,casual,68359
22,member,88006
23,casual,49292
23,member,56438
